870 2774
579 417 627
426 113 190
565 775 336
367 146 651
632 656 932
662 59 50
384 444 816
59 663 455
836 745 109
208 817 663
116 77 154
741 103 733
355 402 772
636 24 701
330 496 953
460 466 885
684 828 80
3 848 406
386 321 451
347 700 432
810 672 429
175 224 518
353 187 888
24 190 467
328 574 478
792 442 691
627 537 854
497 430 780
570 167 847
334 146 411
528 411 41
303 211 69
42 321 114
597 357 86
231 732 517
700 586 426
623 545 104
520 163 811
863 750 932
119 686 628
301 673 272
549 121 337
731 846 865
576 514 449
313 415 273
467 429 571
597 735 400
577 290 733
15 314 895
695 486 209
772 706 657
253 224 839
518 23 799
612 340 373
320 383 398
452 493 663
458 112 56
745 451 927
265 812 395
660 332 267
663 487 577
49 617 231
384 688 19
457 345 306
80 356 356
7 261 441
472 504 338
574 628 726
186 721 220
811 18 396
552 583 683
855 585 346
790 731 398
250 475 835
97 775 357
710 150 375
677 549 265
460 613 283
423 70 686
647 843 567
411 501 875
797 848 512
185 703 591
870 856 13
511 501 549
624 254 587
375 592 185
116 401 230
645 193 674
235 527 251
26 330 114
109 864 863
222 535 779
865 187 448
241 16 186
647 294 445
782 293 622
289 816 549
119 558 148
60 673 353
629 843 249
359 332 185
644 591 282
254 129 814
188 676 14
215 655 889
9 604 269
266 583 790
63 100 973
744 538 60
646 97 576
526 457 49
225 649 115
276 188 562
211 69 895
360 80 766
334 748 569
146 666 373
808 56 926
831 236 820
546 178 24
755 419 219
720 670 621
454 512 802
666 737 431
373 781 416
213 312 541
76 577 794
145 663 255
766 167 278
657 869 740
869 53 913
860 751 261
487 541 362
297 429 273
621 80 692
672 829 899
867 838 970
88 185 601
429 748 701
280 142 70
304 493 272
308 232 551
467 113 221
52 35 657
624 740 981
855 304 64
572 129 972
546 567 261
858 203 757
612 11 153
743 555 438
452 375 920
828 592 400
635 493 481
601 812 928
584 189 73
173 30 568
461 626 46
620 816 594
226 397 933
859 792 764
119 545 913
806 754 700
773 528 212
285 174 141
837 408 608
556 849 543
698 227 444
663 56 946
500 67 347
422 541 306
323 605 736
561 366 86
506 170 268
453 197 996
116 787 154
288 117 742
847 153 778
80 483 145
119 331 680
195 855 606
787 248 369
65 57 113
586 520 600
345 77 125
804 26 755
95 171 71
757 25 108
838 357 136
184 776 264
208 199 570
600 249 99
107 3 688
823 156 80
806 197 976
1 635 14
299 211 593
736 559 722
785 835 60
470 810 773
472 348 622
251 6 774
436 35 176
460 618 55
403 229 404
1 195 418
570 507 61
156 715 94
683 786 837
524 445 592
482 495 679
712 840 374
428 779 288
524 789 499
609 257 128
310 218 577
502 111 459
462 681 909
94 691 81
273 178 887
138 58 651
197 364 934
546 811 624
268 462 347
755 488 824
303 82 963
632 316 170
488 311 60
613 678 833
357 379 227
591 813 945
752 77 464
684 81 185
606 91 385
92 852 960
749 638 389
791 100 491
499 556 74
688 376 953
167 430 629
815 76 101
713 582 688
664 7 189
796 531 951
596 833 737
6 570 615
445 309 160
683 587 161
390 751 307
382 428 387
239 857 237
149 237 196
339 46 42
74 695 219
139 436 581
117 537 759
134 114 518
184 176 855
375 812 765
54 602 699
438 776 475
813 274 955
300 597 669
38 178 669
561 522 829
557 777 7
741 189 905
198 689 612
718 633 326
293 473 958
173 449 754
89 847 64
647 39 448
159 549 395
47 157 635
666 506 800
338 687 966
281 202 492
12 688 683
444 271 277
388 234 184
462 666 612
245 745 839
719 792 250
820 234 565
829 72 713
324 268 810
770 382 785
663 488 841
273 475 484
751 471 558
556 73 167
335 343 27
168 815 422
483 808 299
632 468 661
794 749 51
439 603 857
605 726 381
341 458 818
239 270 469
329 376 39
845 249 830
30 58 7
654 19 534
752 466 305
92 381 470
559 404 752
792 81 452
180 564 374
537 332 574
26 401 801
473 778 523
304 581 362
308 375 922
188 223 566
637 428 533
62 759 302
186 241 80
25 535 344
859 586 375
55 47 201
351 233 173
822 481 519
117 683 47
743 803 742
438 66 706
109 470 329
852 432 725
736 205 560
590 444 598
358 350 250
324 831 26
337 497 755
340 149 62
496 429 336
703 525 786
605 589 129
362 706 140
503 341 114
652 447 419
732 24 256
531 226 105
826 678 664
156 727 612
321 617 958
848 196 854
766 318 655
521 58 264
779 280 69
810 530 169
551 841 790
569 293 67
531 244 777
686 851 251
562 500 363
271 579 725
110 112 854
739 483 381
807 667 390
527 223 358
824 146 938
819 374 662
354 251 72
213 409 252
18 827 252
494 657 418
315 868 65
416 350 908
848 50 782
289 93 182
49 230 890
168 194 777
854 474 992
161 366 537
657 528 343
137 870 45
660 196 353
667 322 799
240 701 85
453 745 139
386 215 988
629 142 307
607 316 346
468 653 1
291 6 982
682 274 308
30 516 304
109 98 463
126 597 455
410 76 881
137 28 643
299 283 451
528 163 227
32 459 293
512 325 342
507 94 679
315 125 983
661 3 145
870 537 583
645 25 121
361 176 553
160 50 763
280 367 215
226 389 282
51 30 761
182 662 10
637 287 702
212 469 111
102 292 185
466 577 702
608 535 13
286 228 830
118 211 722
217 645 930
87 319 413
26 47 395
404 253 358
108 407 245
192 75 884
487 105 279
70 663 606
371 139 160
64 533 220
341 586 155
357 95 731
33 346 729
662 680 601
188 397 655
858 846 364
359 506 230
36 282 665
531 815 752
642 691 439
199 164 565
680 164 535
206 331 762
818 338 171
91 869 284
20 834 202
387 167 178
547 426 758
131 185 733
